location,date,total_cases,new_cases,total_deaths,new_deaths,gdp_per_capita,population
Australia,2019-12-31,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-01,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-02,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-03,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-04,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-05,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-06,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-07,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-08,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-09,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-10,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-11,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-12,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-13,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-14,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia  ,2020-01-15,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-16,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-17,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-18,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-19-01,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-20,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-21,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-22,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-23,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-24,0.0,0.0,0.0,0.0,44648.71,25499881.0
Australia  ,2020-01-25,1.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-26,4.0,3.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-27,4.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-28,4.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-29,4.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-01-30,6.0,2.0,0.0,0.0,44648.71,25499881.0
Australia,2020-31-01,7.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-01,9.0,2.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-02,11.0,2.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-03,11.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-04,11.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-05,12.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-06,13.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-07,14.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-08,14.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-09,14.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-10,14.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-11,14.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-12,14.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-13,14.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-14,15.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-15,15.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-16,15.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-17,15.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-18-02,15.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-19,15.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-20-02,15.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-21,17.0,2.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-22,21.0,4.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-23,22.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-24,22.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-25,22.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-26,22.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-27,23.0,1.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-28,23.0,0.0,0.0,0.0,44648.71,25499881.0
Australia,2020-02-29,25.0,2.0,0.0,0.0,44648.71,25499881.0
Australia,2020-03-01,26.0,1.0,1.0,1.0,44648.71,25499881.0
Australia,2020-03-02,29.0,3.0,1.0,0.0,44648.71,25499881.0
Australia,2020-03-03,33.0,4.0,1.0,0.0,44648.71,25499881.0
Australia,2020-03-04,41.0,8.0,1.0,0.0,44648.71,25499881.0
Australia,2020-03-05,52.0,11.0,2.0,1.0,44648.71,25499881.0
Australia,2020-03-06,59.0,7.0,2.0,0.0,44648.71,25499881.0
Australia,2020-03-07,63.0,4.0,2.0,0.0,44648.71,25499881.0
Australia,2020-03-08,74.0,11.0,3.0,1.0,44648.71,25499881.0
Australia,2020-03-09,80.0,6.0,3.0,0.0,44648.71,25499881.0
Australia,2020-03-10,100.0,20.0,3.0,0.0,44648.71,25499881.0
Australia,2020-03-11,112.0,12.0,3.0,0.0,44648.71,25499881.0
Australia,2020-03-12,126.0,14.0,3.0,0.0,44648.71,25499881.0
Australia,2020-03-13,156.0,30.0,3.0,0.0,44648.71,25499881.0
Australia,2020-03-14,197.0,41.0,3.0,0.0,44648.71,25499881.0
Australia,2020-03-15,249.0,52.0,3.0,0.0,44648.71,25499881.0
Australia,2020-03-16,298.0,49.0,5.0,2.0,44648.71,25499881.0
Australia,2020-03-17,375.0,77.0,5.0,0.0,44648.71,25499881.0
Australia,2020-03-18,454.0,79.0,5.0,0.0,44648.71,25499881.0
Australia,2020-19-03,565.0,111.0,6.0,1.0,44648.71,25499881.0
Australia,2020-03-20,709.0,144.0,6.0,0.0,44648.71,25499881.0
Australia,2020-21-03,874.0,165.0,7.0,1.0,44648.71,25499881.0
Australia,2020-22-03,1098.0,224.0,7.0,0.0,44648.71,25499881.0
Australia,2020-03-23,1709.0,611.0,7.0,0.0,44648.71,25499881.0
Australia,2020-03-24,1823.0,114.0,7.0,0.0,44648.71,25499881.0
Australia,2020-03-25,2423.0,600.0,8.0,1.0,44648.71,25499881.0
Australia,2020-26-03,2799.0,376.0,11.0,3.0,44648.71,25499881.0
Australia,2020-03-27,3166.0,367.0,13.0,2.0,44648.71,25499881.0
