order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD370701,ID1668522921,4/18/2019,nickolson,"[('Lucent 330S', 2), ('Toshika 750', 1)]",6780,80.45,-37.8061276,144.9400597,15,5843.45,Autumn,TRUE,0.9544,much faster! great phone. super upgrade from my s6.,TRUE
ORD467964,ID2189162943,4/14/2019,Thompson,"[('Toshika 750', 1), ('Olivia x460', 1)]",5545,78.82,-37.8117176,144.9563909,15,4792.07,Autumn,TRUE,0.8267,nice smartphone nice smartphone,TRUE
ORD172528,ID0576879081,9/10/2019,Nickolson,"[('Lucent 330S', 1), ('pearTV', 2), ('iAssist Line', 1)]",16075,75.52,-37.8194601,144.9792761,10,14543.02,summer,FALSE,0.8606,"great purchase i had pre-ordered the lucent z2 force and had it for about 6 months and then screen peeled off plus it was glitch the whole time. talked to verizon and started a payment plan on this phone, i absolutely love it!! no comparison. it's fast, gorgeous, and has a great camera.",TRUE
ORD156484,ID1492149379,11/15/2019,Thompson,"[('Lucent 330S', 1), ('Universe Note', 2), ('Candle Inferno', 1), ('iStream', 2)]",8860,73.61,-37.8131857,144.9516108,5,8490.61,Spring,FALSE,0.4035,None,TRUE
ORD075736,ID0331417168,3/27/2019,Bakers,"[('Candle Inferno', 1), ('Olivia x460', 2), ('Lucent 330S', 1), ('Toshika 750', 1)]",8430,71.13,-37.8228858,145.010151,15,7236.63,Autumn,FALSE,1.9442,"omg stacy ""what is it becky"" wife absolutely loves her new phone. upgraded from a note 3 (definitely needed an upgrade lol) we were both unsure about the curved screen but it is actually looks and feels very nice",TRUE
ORD499081,ID0577518117,6/17/2019,Nickolson,"[('Universe Note', 2), ('iStream', 1), ('Thunder line', 1)]",9230,77.28,144.9763005,-37.8254576,15,7922.78,Winter,TRUE,0.9674,five stars very happy with this phone. everything was as advertised.,TRUE
ORD195868,ID4544561905,8/23/2019,Nickolson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Thunder line', 1)]",13280,64.03,-37.8114037,144.973109,15,11352.03,Winter,FALSE,0.9262,"i purchased several of these tablets during the holidays as gifts. everyone absolutely loves the infernohd8, especially those with the gold memberships. my only regret is not purchasing one for myself.",TRUE
ORD389795,ID2384426955,11/19/2019,Nickolson,"[('Toshika 750', 2), ('Lucent 330S', 2), ('Candle Inferno', 2), ('Universe Note', 2)]",18860,103.71,-37.8100454,144.9638521,25,14248.71,Spring,FALSE,1.0756,"have a 7"", wanted a bigger screen. this is perfect and price was great.",TRUE
ORD255125,ID6167344368,10/25/2019,Nickolson,"[('Toshika 750', 1), ('pearTV', 2)]",16940,59.09,-37.8138113,144.9684082,5,16152.09,Spring,FALSE,1.1416,0.5 worst phone,FALSE
ORD463102,ID0767723743,4/27/2019,Nickolson,"[('iAssist Line', 1), ('Toshika 750', 2), ('iStream', 1), ('Alcon 10', 1)]",19965,68.44,-37.8051354,144.9722353,0,20033.44,Autumn,FALSE,1.5168,great purchase just bought it used and it looks and works great!,TRUE
ORD292237,ID0488879337,1/15/2019,Thompson,"[('Lucent 330S', 1), ('pearTV', 2)]",14845,95.61,-37.8052092,144.9553308,25,11229.36,Summer,TRUE,1.1038,"this is a gift to my wife for xmas, don't know yet if she likes it but i can't see why she wouldn't",TRUE
ORD449505,ID2189145401,8/1/2019,Thompson,"[('iAssist Line', 2), ('pearTV', 2), ('Olivia x460', 1), ('Lucent 330S', 2)]",20755,48.29,-37.814691,144.9576895,10,18727.79,Winter,FALSE,0.9606,"what us wrong with toshika? no wonder why tbey cant sell phones great phone, best i have ever had but ludicrous that i need to flash the firmware to enable the fingerprint sensor. this is being returned. that is just ****** up beyond belief! i can easy do it too, but won't.",FALSE
ORD434703,ID6167441046,1/29/2019,Nickolson,"[('iAssist Line', 2), ('Universe Note', 2), ('Toshika 750', 2), ('Olivia x460', 1)]",21215,77.28,144.9617736,-37.8112522,0,21292.28,Summer,FALSE,1.0658,i like the thunder plus it's wonderful the least thing i don't like is it doesn't turn off every,TRUE
ORD028398,ID4520380442,10/8/2019,Nickolson,"[('Thunder line', 2), ('Candle Inferno', 2)]",5220,85.56,-37.8200095,144.9614139,5,5044.56,Spring,FALSE,0.7327,camera crap 2000 model like.,FALSE
ORD052708,ID3208518261,9/9/2019,Nickolson,"[('iStream', 2), ('Thunder line', 1)]",2480,110.69,-37.8008069,144.9735614,0,2590.69,Spring,TRUE,2.0113,"love the fact that i can get mad love the fact that i can get mad, throw it, go pick it up and still be able to use it. great phone for a carpenter with a low tolerance for bs and a temper!",TRUE
ORD223153,ID3293340292,1/4/2019,Nickolson,"[('iAssist Line', 2), ('Universe Note', 2), ('Olivia x460', 1), ('pearTV', 2)]",25195,62.71,-37.8249905,144.9820473,0,25257.71,Summer,FALSE,1.3093,"telephone function is miserable telephone hone quality is miserable. many failed calls, garbled reception and poor volume. no problem switching back to my old olivia note 3. digico switched first phone with another new one - no improvement. asus admitted unit ""meets factory specs."" suggested return for credit.",FALSE
ORD022811,ID6231506303,5/23/2019,Nickolson,"[('Toshika 750', 1), ('Candle Inferno', 1), ('iAssist Line', 2), ('pearTV', 1)]",15510,64.67,-37.8250475,144.9705695,25,11697.17,Autumn,FALSE,0.7238,"it is always risky to buy a phone other than through your carrier or a close friend- the phone works and the price was great- the volume doesn’t work very well making it a difficult phone to use- seriously, you do everything you want on the alcon except make phone calls!😩",TRUE
ORD280338,ID0268533546,11/16/2019,Nickolson,"[('Universe Note', 1), ('pearTV', 1), ('Lucent 330S', 2)]",12220,87.7,-37.8132615,144.9753714,15,10474.7,Spring,TRUE,0.7839,"lies and disaapointment i bought this phone as a starter phibe for my 8 year old. this item says it was a no contract t-mobile phone. however, it did not work with my t-mobile sim card. i even called t-mobile customer service and they could not help me. this was a big lie and disappointment.",FALSE
