order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD129859,ID4520380539,2019-06-30,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('pearTV', 1), ('iAssist Line', 2)]",15510.0,78.51,-37.817582,144.95909519999995,0,15588.51,Winter,True,0.9263,"light phone so light., good for one hand.",1.0
ORD100970,ID0991978006,2019-12-05,Nickolson,"[('Olivia x460', 2), ('pearTV', 2)]",15070.0,,-37.82012279999999,144.9684375,5,14369.9,Summer,False,0.1962,"beware ads, virus. will not hold charge this was the worst phone we ever bought, doesn't stay charged for more than an hour. it came with ads and virus. beware scam they buy old phones reset them and sell at a high price.",0.0
ORD160597,ID0775946941,2019-03-24,Thompson,"[('pearTV', 2), ('Candle Inferno', 2), ('Alcon 10', 1)]",22430.0,,-37.8041711,144.9584591,0,22497.42,Autumn,False,1.3781,"value for money. like new as described, refurbished but like new. good support from seller",1.0
ORD001107,ID0560997116,2019-03-16,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 2), ('Universe Note', 2), ('Lucent 330S', 2)]",27690.0,77.31,-37.8106913,144.9364149,5,26382.81,Autumn,True,0.9626,i would recommend this to my friends that you can shop on digico has many preloaded games. many apps,1.0
ORD052049,ID0575385210,2019-06-05,,"[('Universe Note', 2), ('Candle Inferno', 1)]",7330.0,79.35,-37.8190727,144.9821923,25,5576.85,Winter,True,1.1129,"great quality clamshell phone great clam-shell phone. durable; many uses...was designed as military phone, so it can be water resistant.",1.0
ORD332238,ID0576830130,2019-05-04,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Alcon 10', 2)]",21220.0,67.17,-37.82070020000001,144.9849092,5,20226.17,Autumn,True,1.3707,"screen had a visible thick line and black patches although they said very light scratches on the body but clean screen, it was wrong! the screen had a black thick line across and black patches. unusable! i call it cheating. returned within 2 hours!",0.0
ORD313379,ID2383211217,2019-07-17,Nickolson,"[('Universe Note', 1), ('pearTV', 1), ('Candle Inferno', 1)]",10190.0,74.2,-37.8134886,144.9656257,5,9754.7,Winter,True,0.665,great value great product i have had my j7 sm-j727vpp for almost a year now and i don't have the first complaint. it has not failed me as of this review. olivia make very good products. i just wish there were more operating systems in place to give google & pear a run for their money.,1.0
ORD401275,ID0844410211,2019-01-12,Thompson,"[('Thunder line', 2), ('iStream', 1)]",4510.0,90.77,-37.8190391,144.9467214,0,4600.77,Summer,True,0.7093,great phone is a great phone i love it. came new in a at&t box with everything and just what i wanted. it is so worth the price ^-^,1.0
ORD170687,ID0529204801,2019-01-14,Thompson,"[('iStream', 1), ('Alcon 10', 2), ('pearTV', 2)]",30670.0,100.2,-37.8236612,144.9369122,25,23102.7,Summer,True,1.5145,five stars is just excellent,1.0
ORD338331,ID0762836096,2019-04-18,Thompson,"[('iStream', 1), ('Candle Inferno', 1), ('iAssist Line', 1), ('Universe Note', 1)]",6255.0,52.63,-37.80390429999999,144.9368881,15,5369.38,Autumn,False,1.3246,"after i used this phone, it have some problems ... after i used this phone, it have some problems.it will automatically restart when i use it,especially charging.i was scared,because i have no extra money to change another phone.i was bothered by this problem.",0.0
ORD031541,ID6167489441,2019-01-07,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 2), ('iStream', 1)]",7480.0,95.58,-37.8129884,144.95961200000005,15,6453.58,Summer,True,1.074,"excellent buy phone is unlocked and accepted our network sim with ease. no freezing, sticking, lagging, nothing. great buy.",1.0
ORD004362,ID0561538881,2019-04-05,Bakers,"[('Alcon 10', 2), ('Olivia x460', 2)]",20350.0,52.03,-37.8001032,145.0050381,25,15314.53,Autumn,False,1.3988,one star i didn't get my free minutes. so i'm not even using the phone.,0.0
ORD292553,ID0746918007,2019-03-04,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 2), ('Olivia x460', 1), ('Toshika 750', 1)]",11135.0,82.29,-37.824511,144.9828365,15,9547.04,Autumn,True,1.3411,perfect tablet for my 8 year old without spending a fortune. i love how it has parental controls so i can limit his time playing.,1.0
ORD460038,ID5884356154,2019-12-14,Thompson,"[('pearTV', 1), ('iAssist Line', 2), ('Candle Inferno', 1), ('Universe Note', 2)]",18090.0,84.04,-37.82494060000001,144.93296930000002,5,17269.54,Summer,False,1.8445,bang for buck! awesome like brand new,1.0
ORD035272,ID6167417949,2019-03-23,Nickolson,"[('Thunder line', 1), ('iAssist Line', 1)]",4405.0,64.94,-37.8141304,144.96319640000004,10,4029.44,Autumn,False,0.7478,ha muy bueno,1.0
ORD305714,ID0128891662,2019-12-30,,"[('Olivia x460', 2), ('pearTV', 1)]",8760.0,100.07,-37.79929310000001,145.0056747,10,7984.07,Summer,True,,five stars i love this phone. looks new,1.0
ORD126165,ID0777829884,2019-03-17,Thompson,"[('Olivia x460', 2), ('iStream', 2)]",2750.0,66.43,-37.8029722,144.95799119999995,25,2128.93,Autumn,True,1.4453,"do not buy came with wrong charger, battery won't fully charge, after a month screen blanks out. buy elsewhere. seller sucks!",0.0
ORD385861,ID2462381390,2019-05-15,Thompson,"[('iAssist Line', 2), ('Olivia x460', 2)]",6900.0,54.64,-37.8000729,144.96203789999996,10,6264.64,Autumn,False,1.9237,item not as described. this is the international version without warranty or all the lte bands.,0.0
ORD218970,ID4299945073,2019-07-17,Bakers,"[('Alcon 10', 2), ('Toshika 750', 2), ('Universe Note', 1)]",29990.0,79.33,-37.8140635,145.01287219999998,5,28569.83,Winter,True,1.6161,"five stars best phone i've had sammie s7, s5, note 5 those phones are overrated",1.0
ORD279218,ID0129288570,2019-11-20,,"[('Toshika 750', 1), ('iStream', 2)]",4620.0,103.8,-37.8000698,144.9953249,15,4030.8,Spring,True,,better deal than att good value for money,1.0
ORD032317,ID0250479896,2019-06-08,Bakers,"[('Olivia x460', 2), ('iStream', 2), ('Lucent 330S', 1)]",3980.0,77.47,-37.81751060000001,145.0028707,5,3858.47,Winter,True,1.0728,quality and user friendly so far so good. by by olivia,1.0
ORD413874,ID5402876184,2019-10-11,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('Thunder line', 2)]",9110.0,75.44,-37.8205277,144.9767417,5,8729.94,Spring,False,0.6679,a good phone except a good phone except: 1) no monthly security patches. my latest was 8 months ago. 2) the bootloader cannot be unlocked (allegedly - i haven't tried). otherwise you could install a maintained os like lineage.,1.0
